timestamp,group,namespace,pod,container,cpu(n),memory(Ki)
2025-05-18T13:03:02Z,control-plane,linkerd,linkerd-proxy-injector-8c8559bd-4jt6c,proxy-injector,8628428n,18324Ki
2025-05-18T13:03:02Z,control-plane,linkerd,linkerd-proxy-injector-8c8559bd-4jt6c,linkerd-proxy,1935347n,12076Ki
2025-05-18T13:03:03Z,control-plane,linkerd,linkerd-destination-77df8d55b6-gz59q,destination,2860533n,17844Ki
2025-05-18T13:03:03Z,control-plane,linkerd,linkerd-destination-77df8d55b6-gz59q,policy,299359n,3868Ki
2025-05-18T13:03:03Z,control-plane,linkerd,linkerd-destination-77df8d55b6-gz59q,linkerd-proxy,681897n,14360Ki
2025-05-18T13:03:03Z,control-plane,linkerd,linkerd-destination-77df8d55b6-gz59q,sp-validator,66416n,13020Ki
2025-05-18T13:03:03Z,control-plane,linkerd,linkerd-identity-654cd64ff-w7mgs,identity,151096n,15840Ki
2025-05-18T13:03:03Z,control-plane,linkerd,linkerd-identity-654cd64ff-w7mgs,linkerd-proxy,314997n,10264Ki
2025-05-18T13:03:03Z,control-plane,linkerd,linkerd-proxy-injector-8c8559bd-4jt6c,proxy-injector,353825n,18348Ki
2025-05-18T13:03:03Z,control-plane,linkerd,linkerd-proxy-injector-8c8559bd-4jt6c,linkerd-proxy,277163n,12100Ki
2025-05-18T13:03:03Z,data-plane,service-mesh-benchmark,fortio-client-79ffbb4d64-4ft6s,linkerd-proxy,521098236n,15028Ki
2025-05-18T13:03:03Z,data-plane,service-mesh-benchmark,fortio-server-596bcd8474-ql7kq,linkerd-proxy,499693097n,17168Ki
2025-05-18T13:03:05Z,control-plane,linkerd,linkerd-destination-77df8d55b6-gz59q,destination,2860533n,17844Ki
2025-05-18T13:03:05Z,control-plane,linkerd,linkerd-destination-77df8d55b6-gz59q,policy,299780n,3868Ki
2025-05-18T13:03:05Z,control-plane,linkerd,linkerd-destination-77df8d55b6-gz59q,linkerd-proxy,681897n,14360Ki
2025-05-18T13:03:05Z,control-plane,linkerd,linkerd-destination-77df8d55b6-gz59q,sp-validator,66635n,13020Ki
2025-05-18T13:03:05Z,control-plane,linkerd,linkerd-identity-654cd64ff-w7mgs,identity,151096n,15840Ki
2025-05-18T13:03:05Z,control-plane,linkerd,linkerd-identity-654cd64ff-w7mgs,linkerd-proxy,314997n,10264Ki
2025-05-18T13:03:05Z,control-plane,linkerd,linkerd-proxy-injector-8c8559bd-4jt6c,proxy-injector,355354n,18348Ki
2025-05-18T13:03:05Z,control-plane,linkerd,linkerd-proxy-injector-8c8559bd-4jt6c,linkerd-proxy,277163n,12100Ki
2025-05-18T13:03:05Z,data-plane,service-mesh-benchmark,fortio-client-79ffbb4d64-4ft6s,linkerd-proxy,521098236n,15028Ki
2025-05-18T13:03:05Z,data-plane,service-mesh-benchmark,fortio-server-596bcd8474-ql7kq,linkerd-proxy,536739490n,17168Ki
2025-05-18T13:03:06Z,control-plane,linkerd,linkerd-destination-77df8d55b6-gz59q,destination,2860533n,17844Ki
2025-05-18T13:03:06Z,control-plane,linkerd,linkerd-destination-77df8d55b6-gz59q,policy,299359n,3868Ki
2025-05-18T13:03:06Z,control-plane,linkerd,linkerd-destination-77df8d55b6-gz59q,linkerd-proxy,681897n,14360Ki
2025-05-18T13:03:06Z,control-plane,linkerd,linkerd-destination-77df8d55b6-gz59q,sp-validator,66416n,13020Ki
2025-05-18T13:03:06Z,control-plane,linkerd,linkerd-identity-654cd64ff-w7mgs,identity,151096n,15840Ki
2025-05-18T13:03:06Z,control-plane,linkerd,linkerd-identity-654cd64ff-w7mgs,linkerd-proxy,314997n,10264Ki
2025-05-18T13:03:06Z,control-plane,linkerd,linkerd-proxy-injector-8c8559bd-4jt6c,proxy-injector,353825n,18348Ki
2025-05-18T13:03:06Z,control-plane,linkerd,linkerd-proxy-injector-8c8559bd-4jt6c,linkerd-proxy,277163n,12100Ki
2025-05-18T13:03:06Z,data-plane,service-mesh-benchmark,fortio-client-79ffbb4d64-4ft6s,linkerd-proxy,521098236n,15028Ki
2025-05-18T13:03:06Z,data-plane,service-mesh-benchmark,fortio-server-596bcd8474-ql7kq,linkerd-proxy,499693097n,17168Ki
2025-05-18T13:03:07Z,control-plane,linkerd,linkerd-destination-77df8d55b6-gz59q,destination,2860533n,17844Ki
2025-05-18T13:03:07Z,control-plane,linkerd,linkerd-destination-77df8d55b6-gz59q,policy,299780n,3868Ki
2025-05-18T13:03:07Z,control-plane,linkerd,linkerd-destination-77df8d55b6-gz59q,linkerd-proxy,681897n,14360Ki
2025-05-18T13:03:07Z,control-plane,linkerd,linkerd-destination-77df8d55b6-gz59q,sp-validator,66635n,13020Ki
2025-05-18T13:03:07Z,control-plane,linkerd,linkerd-identity-654cd64ff-w7mgs,identity,151096n,15840Ki
2025-05-18T13:03:07Z,control-plane,linkerd,linkerd-identity-654cd64ff-w7mgs,linkerd-proxy,314997n,10264Ki
2025-05-18T13:03:07Z,control-plane,linkerd,linkerd-proxy-injector-8c8559bd-4jt6c,proxy-injector,355354n,18348Ki
2025-05-18T13:03:07Z,control-plane,linkerd,linkerd-proxy-injector-8c8559bd-4jt6c,linkerd-proxy,277163n,12100Ki
2025-05-18T13:03:07Z,data-plane,service-mesh-benchmark,fortio-client-79ffbb4d64-4ft6s,linkerd-proxy,521098236n,15028Ki
2025-05-18T13:03:07Z,data-plane,service-mesh-benchmark,fortio-server-596bcd8474-ql7kq,linkerd-proxy,536739490n,17168Ki
2025-05-18T13:03:09Z,control-plane,linkerd,linkerd-destination-77df8d55b6-gz59q,destination,2860533n,17844Ki
2025-05-18T13:03:09Z,control-plane,linkerd,linkerd-destination-77df8d55b6-gz59q,policy,299359n,3868Ki
2025-05-18T13:03:09Z,control-plane,linkerd,linkerd-destination-77df8d55b6-gz59q,linkerd-proxy,681897n,14360Ki
2025-05-18T13:03:09Z,control-plane,linkerd,linkerd-destination-77df8d55b6-gz59q,sp-validator,66416n,13020Ki
2025-05-18T13:03:09Z,control-plane,linkerd,linkerd-identity-654cd64ff-w7mgs,identity,151096n,15840Ki
2025-05-18T13:03:09Z,control-plane,linkerd,linkerd-identity-654cd64ff-w7mgs,linkerd-proxy,314997n,10264Ki
2025-05-18T13:03:09Z,control-plane,linkerd,linkerd-proxy-injector-8c8559bd-4jt6c,proxy-injector,353825n,18348Ki
2025-05-18T13:03:09Z,control-plane,linkerd,linkerd-proxy-injector-8c8559bd-4jt6c,linkerd-proxy,277163n,12100Ki
2025-05-18T13:03:09Z,data-plane,service-mesh-benchmark,fortio-client-79ffbb4d64-4ft6s,linkerd-proxy,521098236n,15028Ki
2025-05-18T13:03:09Z,data-plane,service-mesh-benchmark,fortio-server-596bcd8474-ql7kq,linkerd-proxy,499693097n,17168Ki
2025-05-18T13:03:10Z,control-plane,linkerd,linkerd-destination-77df8d55b6-gz59q,destination,2860533n,17844Ki
2025-05-18T13:03:10Z,control-plane,linkerd,linkerd-destination-77df8d55b6-gz59q,policy,299359n,3868Ki
2025-05-18T13:03:10Z,control-plane,linkerd,linkerd-destination-77df8d55b6-gz59q,linkerd-proxy,681897n,14360Ki
2025-05-18T13:03:10Z,control-plane,linkerd,linkerd-destination-77df8d55b6-gz59q,sp-validator,66416n,13020Ki
2025-05-18T13:03:10Z,control-plane,linkerd,linkerd-identity-654cd64ff-w7mgs,identity,151096n,15840Ki
2025-05-18T13:03:10Z,control-plane,linkerd,linkerd-identity-654cd64ff-w7mgs,linkerd-proxy,314997n,10264Ki
2025-05-18T13:03:10Z,control-plane,linkerd,linkerd-proxy-injector-8c8559bd-4jt6c,proxy-injector,353825n,18348Ki
2025-05-18T13:03:10Z,control-plane,linkerd,linkerd-proxy-injector-8c8559bd-4jt6c,linkerd-proxy,277163n,12100Ki
2025-05-18T13:03:10Z,data-plane,service-mesh-benchmark,fortio-client-79ffbb4d64-4ft6s,linkerd-proxy,521098236n,15028Ki
2025-05-18T13:03:10Z,data-plane,service-mesh-benchmark,fortio-server-596bcd8474-ql7kq,linkerd-proxy,499693097n,17168Ki
2025-05-18T13:03:12Z,control-plane,linkerd,linkerd-destination-77df8d55b6-gz59q,destination,2860533n,17844Ki
2025-05-18T13:03:12Z,control-plane,linkerd,linkerd-destination-77df8d55b6-gz59q,policy,299359n,3868Ki
2025-05-18T13:03:12Z,control-plane,linkerd,linkerd-destination-77df8d55b6-gz59q,linkerd-proxy,681897n,14360Ki
2025-05-18T13:03:12Z,control-plane,linkerd,linkerd-destination-77df8d55b6-gz59q,sp-validator,66416n,13020Ki
2025-05-18T13:03:12Z,control-plane,linkerd,linkerd-identity-654cd64ff-w7mgs,identity,151096n,15840Ki
2025-05-18T13:03:12Z,control-plane,linkerd,linkerd-identity-654cd64ff-w7mgs,linkerd-proxy,314997n,10264Ki
2025-05-18T13:03:12Z,control-plane,linkerd,linkerd-proxy-injector-8c8559bd-4jt6c,proxy-injector,353825n,18348Ki
2025-05-18T13:03:12Z,control-plane,linkerd,linkerd-proxy-injector-8c8559bd-4jt6c,linkerd-proxy,277163n,12100Ki
2025-05-18T13:03:12Z,data-plane,service-mesh-benchmark,fortio-client-79ffbb4d64-4ft6s,linkerd-proxy,521098236n,15028Ki
2025-05-18T13:03:12Z,data-plane,service-mesh-benchmark,fortio-server-596bcd8474-ql7kq,linkerd-proxy,499693097n,17168Ki
2025-05-18T13:03:13Z,control-plane,linkerd,linkerd-destination-77df8d55b6-gz59q,destination,2860533n,17844Ki
2025-05-18T13:03:13Z,control-plane,linkerd,linkerd-destination-77df8d55b6-gz59q,policy,299780n,3868Ki
2025-05-18T13:03:13Z,control-plane,linkerd,linkerd-destination-77df8d55b6-gz59q,linkerd-proxy,681897n,14360Ki
2025-05-18T13:03:13Z,control-plane,linkerd,linkerd-destination-77df8d55b6-gz59q,sp-validator,66635n,13020Ki
2025-05-18T13:03:13Z,control-plane,linkerd,linkerd-identity-654cd64ff-w7mgs,identity,151096n,15840Ki
2025-05-18T13:03:13Z,control-plane,linkerd,linkerd-identity-654cd64ff-w7mgs,linkerd-proxy,314997n,10264Ki
2025-05-18T13:03:13Z,control-plane,linkerd,linkerd-proxy-injector-8c8559bd-4jt6c,proxy-injector,355354n,18348Ki
2025-05-18T13:03:13Z,control-plane,linkerd,linkerd-proxy-injector-8c8559bd-4jt6c,linkerd-proxy,277163n,12100Ki
2025-05-18T13:03:13Z,data-plane,service-mesh-benchmark,fortio-client-79ffbb4d64-4ft6s,linkerd-proxy,521098236n,15028Ki
2025-05-18T13:03:13Z,data-plane,service-mesh-benchmark,fortio-server-596bcd8474-ql7kq,linkerd-proxy,536739490n,17168Ki
2025-05-18T13:03:14Z,control-plane,linkerd,linkerd-destination-77df8d55b6-gz59q,destination,2860533n,17844Ki
2025-05-18T13:03:14Z,control-plane,linkerd,linkerd-destination-77df8d55b6-gz59q,policy,299780n,3868Ki
2025-05-18T13:03:14Z,control-plane,linkerd,linkerd-destination-77df8d55b6-gz59q,linkerd-proxy,681897n,14360Ki
2025-05-18T13:03:14Z,control-plane,linkerd,linkerd-destination-77df8d55b6-gz59q,sp-validator,66635n,13020Ki
2025-05-18T13:03:14Z,control-plane,linkerd,linkerd-identity-654cd64ff-w7mgs,identity,151096n,15840Ki
2025-05-18T13:03:14Z,control-plane,linkerd,linkerd-identity-654cd64ff-w7mgs,linkerd-proxy,314997n,10264Ki
2025-05-18T13:03:14Z,control-plane,linkerd,linkerd-proxy-injector-8c8559bd-4jt6c,proxy-injector,355354n,18348Ki
2025-05-18T13:03:14Z,control-plane,linkerd,linkerd-proxy-injector-8c8559bd-4jt6c,linkerd-proxy,277163n,12100Ki
2025-05-18T13:03:14Z,data-plane,service-mesh-benchmark,fortio-client-79ffbb4d64-4ft6s,linkerd-proxy,521098236n,15028Ki
2025-05-18T13:03:14Z,data-plane,service-mesh-benchmark,fortio-server-596bcd8474-ql7kq,linkerd-proxy,536739490n,17168Ki
2025-05-18T13:03:16Z,control-plane,linkerd,linkerd-destination-77df8d55b6-gz59q,destination,2860533n,17844Ki
2025-05-18T13:03:16Z,control-plane,linkerd,linkerd-destination-77df8d55b6-gz59q,policy,299780n,3868Ki
2025-05-18T13:03:16Z,control-plane,linkerd,linkerd-destination-77df8d55b6-gz59q,linkerd-proxy,681897n,14360Ki
2025-05-18T13:03:16Z,control-plane,linkerd,linkerd-destination-77df8d55b6-gz59q,sp-validator,66635n,13020Ki
2025-05-18T13:03:16Z,control-plane,linkerd,linkerd-identity-654cd64ff-w7mgs,identity,151096n,15840Ki
2025-05-18T13:03:16Z,control-plane,linkerd,linkerd-identity-654cd64ff-w7mgs,linkerd-proxy,314997n,10264Ki
2025-05-18T13:03:16Z,control-plane,linkerd,linkerd-proxy-injector-8c8559bd-4jt6c,proxy-injector,355354n,18348Ki
2025-05-18T13:03:16Z,control-plane,linkerd,linkerd-proxy-injector-8c8559bd-4jt6c,linkerd-proxy,277163n,12100Ki
2025-05-18T13:03:16Z,data-plane,service-mesh-benchmark,fortio-client-79ffbb4d64-4ft6s,linkerd-proxy,521098236n,15028Ki
2025-05-18T13:03:16Z,data-plane,service-mesh-benchmark,fortio-server-596bcd8474-ql7kq,linkerd-proxy,536739490n,17168Ki
2025-05-18T13:03:17Z,control-plane,linkerd,linkerd-destination-77df8d55b6-gz59q,destination,2860533n,17844Ki
2025-05-18T13:03:17Z,control-plane,linkerd,linkerd-destination-77df8d55b6-gz59q,policy,299359n,3868Ki
2025-05-18T13:03:17Z,control-plane,linkerd,linkerd-destination-77df8d55b6-gz59q,linkerd-proxy,681897n,14360Ki
2025-05-18T13:03:17Z,control-plane,linkerd,linkerd-destination-77df8d55b6-gz59q,sp-validator,66416n,13020Ki
2025-05-18T13:03:17Z,control-plane,linkerd,linkerd-identity-654cd64ff-w7mgs,identity,151096n,15840Ki
2025-05-18T13:03:17Z,control-plane,linkerd,linkerd-identity-654cd64ff-w7mgs,linkerd-proxy,314997n,10264Ki
2025-05-18T13:03:17Z,control-plane,linkerd,linkerd-proxy-injector-8c8559bd-4jt6c,proxy-injector,353825n,18348Ki
2025-05-18T13:03:17Z,control-plane,linkerd,linkerd-proxy-injector-8c8559bd-4jt6c,linkerd-proxy,277163n,12100Ki
2025-05-18T13:03:17Z,data-plane,service-mesh-benchmark,fortio-client-79ffbb4d64-4ft6s,linkerd-proxy,521098236n,15028Ki
2025-05-18T13:03:17Z,data-plane,service-mesh-benchmark,fortio-server-596bcd8474-ql7kq,linkerd-proxy,499693097n,17168Ki
2025-05-18T13:03:19Z,control-plane,linkerd,linkerd-destination-77df8d55b6-gz59q,destination,2860533n,17844Ki
2025-05-18T13:03:19Z,control-plane,linkerd,linkerd-destination-77df8d55b6-gz59q,policy,299359n,3868Ki
2025-05-18T13:03:19Z,control-plane,linkerd,linkerd-destination-77df8d55b6-gz59q,linkerd-proxy,681897n,14360Ki
2025-05-18T13:03:19Z,control-plane,linkerd,linkerd-destination-77df8d55b6-gz59q,sp-validator,66416n,13020Ki
2025-05-18T13:03:19Z,control-plane,linkerd,linkerd-identity-654cd64ff-w7mgs,identity,151096n,15840Ki
2025-05-18T13:03:19Z,control-plane,linkerd,linkerd-identity-654cd64ff-w7mgs,linkerd-proxy,314997n,10264Ki
2025-05-18T13:03:19Z,control-plane,linkerd,linkerd-proxy-injector-8c8559bd-4jt6c,proxy-injector,353825n,18348Ki
2025-05-18T13:03:19Z,control-plane,linkerd,linkerd-proxy-injector-8c8559bd-4jt6c,linkerd-proxy,277163n,12100Ki
2025-05-18T13:03:19Z,data-plane,service-mesh-benchmark,fortio-client-79ffbb4d64-4ft6s,linkerd-proxy,521098236n,15028Ki
2025-05-18T13:03:19Z,data-plane,service-mesh-benchmark,fortio-server-596bcd8474-ql7kq,linkerd-proxy,499693097n,17168Ki
2025-05-18T13:03:20Z,control-plane,linkerd,linkerd-destination-77df8d55b6-gz59q,destination,2860533n,17844Ki
2025-05-18T13:03:20Z,control-plane,linkerd,linkerd-destination-77df8d55b6-gz59q,policy,299780n,3868Ki
2025-05-18T13:03:20Z,control-plane,linkerd,linkerd-destination-77df8d55b6-gz59q,linkerd-proxy,681897n,14360Ki
2025-05-18T13:03:20Z,control-plane,linkerd,linkerd-destination-77df8d55b6-gz59q,sp-validator,66635n,13020Ki
2025-05-18T13:03:20Z,control-plane,linkerd,linkerd-identity-654cd64ff-w7mgs,identity,151096n,15840Ki
2025-05-18T13:03:20Z,control-plane,linkerd,linkerd-identity-654cd64ff-w7mgs,linkerd-proxy,314997n,10264Ki
2025-05-18T13:03:20Z,control-plane,linkerd,linkerd-proxy-injector-8c8559bd-4jt6c,proxy-injector,355354n,18348Ki
2025-05-18T13:03:20Z,control-plane,linkerd,linkerd-proxy-injector-8c8559bd-4jt6c,linkerd-proxy,277163n,12100Ki
2025-05-18T13:03:20Z,data-plane,service-mesh-benchmark,fortio-client-79ffbb4d64-4ft6s,linkerd-proxy,521098236n,15028Ki
2025-05-18T13:03:20Z,data-plane,service-mesh-benchmark,fortio-server-596bcd8474-ql7kq,linkerd-proxy,536739490n,17168Ki
2025-05-18T13:03:21Z,control-plane,linkerd,linkerd-destination-77df8d55b6-gz59q,destination,2860533n,17844Ki
2025-05-18T13:03:21Z,control-plane,linkerd,linkerd-destination-77df8d55b6-gz59q,policy,299780n,3868Ki
2025-05-18T13:03:21Z,control-plane,linkerd,linkerd-destination-77df8d55b6-gz59q,linkerd-proxy,681897n,14360Ki
2025-05-18T13:03:21Z,control-plane,linkerd,linkerd-destination-77df8d55b6-gz59q,sp-validator,66635n,13020Ki
2025-05-18T13:03:21Z,control-plane,linkerd,linkerd-identity-654cd64ff-w7mgs,identity,151096n,15840Ki
2025-05-18T13:03:21Z,control-plane,linkerd,linkerd-identity-654cd64ff-w7mgs,linkerd-proxy,314997n,10264Ki
2025-05-18T13:03:21Z,control-plane,linkerd,linkerd-proxy-injector-8c8559bd-4jt6c,proxy-injector,355354n,18348Ki
