timestamp,group,namespace,pod,container,cpu(n),memory(Ki)
2025-04-17T17:42:24Z,control-plane,linkerd,linkerd-destination-78c996c95b-znmwg,sp-validator,106587n,16796Ki
2025-04-17T17:42:24Z,control-plane,linkerd,linkerd-identity-5886fd48d6-xhlps,identity,73971n,17628Ki
2025-04-17T17:42:24Z,control-plane,linkerd,linkerd-identity-5886fd48d6-xhlps,linkerd-proxy,225397n,12064Ki
2025-04-17T17:42:24Z,control-plane,linkerd,linkerd-proxy-injector-594bccdff8-qcfbs,proxy-injector,185908n,19608Ki
2025-04-17T17:42:24Z,control-plane,linkerd,linkerd-proxy-injector-594bccdff8-qcfbs,linkerd-proxy,213885n,12068Ki
2025-04-17T17:42:24Z,data-plane,service-mesh-benchmark,fortio-client-694dcf998-x282z,linkerd-proxy,420365750n,56820Ki
2025-04-17T17:42:24Z,data-plane,service-mesh-benchmark,fortio-server-db7f5ff86-5trrk,linkerd-proxy,350093691n,41556Ki
2025-04-17T17:42:25Z,control-plane,linkerd,linkerd-destination-78c996c95b-znmwg,destination,727681n,19640Ki
2025-04-17T17:42:25Z,control-plane,linkerd,linkerd-destination-78c996c95b-znmwg,policy,173180n,4016Ki
2025-04-17T17:42:25Z,control-plane,linkerd,linkerd-destination-78c996c95b-znmwg,linkerd-proxy,431561n,14296Ki
2025-04-17T17:42:25Z,control-plane,linkerd,linkerd-destination-78c996c95b-znmwg,sp-validator,106587n,16796Ki
2025-04-17T17:42:25Z,control-plane,linkerd,linkerd-identity-5886fd48d6-xhlps,identity,73971n,17628Ki
2025-04-17T17:42:25Z,control-plane,linkerd,linkerd-identity-5886fd48d6-xhlps,linkerd-proxy,225397n,12064Ki
2025-04-17T17:42:25Z,control-plane,linkerd,linkerd-proxy-injector-594bccdff8-qcfbs,proxy-injector,185908n,19608Ki
2025-04-17T17:42:25Z,control-plane,linkerd,linkerd-proxy-injector-594bccdff8-qcfbs,linkerd-proxy,213885n,12068Ki
2025-04-17T17:42:25Z,data-plane,service-mesh-benchmark,fortio-client-694dcf998-x282z,linkerd-proxy,420365750n,56820Ki
2025-04-17T17:42:25Z,data-plane,service-mesh-benchmark,fortio-server-db7f5ff86-5trrk,linkerd-proxy,350093691n,41556Ki
2025-04-17T17:42:27Z,control-plane,linkerd,linkerd-destination-78c996c95b-znmwg,destination,727681n,19640Ki
2025-04-17T17:42:27Z,control-plane,linkerd,linkerd-destination-78c996c95b-znmwg,policy,173180n,4016Ki
2025-04-17T17:42:27Z,control-plane,linkerd,linkerd-destination-78c996c95b-znmwg,linkerd-proxy,442532n,14296Ki
2025-04-17T17:42:27Z,control-plane,linkerd,linkerd-destination-78c996c95b-znmwg,sp-validator,106587n,16796Ki
2025-04-17T17:42:27Z,control-plane,linkerd,linkerd-identity-5886fd48d6-xhlps,identity,73971n,17628Ki
2025-04-17T17:42:27Z,control-plane,linkerd,linkerd-identity-5886fd48d6-xhlps,linkerd-proxy,225397n,12064Ki
2025-04-17T17:42:27Z,control-plane,linkerd,linkerd-proxy-injector-594bccdff8-qcfbs,proxy-injector,161863n,19616Ki
2025-04-17T17:42:27Z,control-plane,linkerd,linkerd-proxy-injector-594bccdff8-qcfbs,linkerd-proxy,213885n,12068Ki
2025-04-17T17:42:27Z,data-plane,service-mesh-benchmark,fortio-client-694dcf998-x282z,linkerd-proxy,420365750n,56820Ki
2025-04-17T17:42:27Z,data-plane,service-mesh-benchmark,fortio-server-db7f5ff86-5trrk,linkerd-proxy,350093691n,41556Ki
2025-04-17T17:42:28Z,control-plane,linkerd,linkerd-destination-78c996c95b-znmwg,destination,727681n,19640Ki
2025-04-17T17:42:28Z,control-plane,linkerd,linkerd-destination-78c996c95b-znmwg,policy,173180n,4016Ki
2025-04-17T17:42:28Z,control-plane,linkerd,linkerd-destination-78c996c95b-znmwg,linkerd-proxy,431561n,14296Ki
2025-04-17T17:42:28Z,control-plane,linkerd,linkerd-destination-78c996c95b-znmwg,sp-validator,106587n,16796Ki
2025-04-17T17:42:28Z,control-plane,linkerd,linkerd-identity-5886fd48d6-xhlps,identity,73971n,17628Ki
2025-04-17T17:42:28Z,control-plane,linkerd,linkerd-identity-5886fd48d6-xhlps,linkerd-proxy,225397n,12064Ki
2025-04-17T17:42:28Z,control-plane,linkerd,linkerd-proxy-injector-594bccdff8-qcfbs,proxy-injector,185908n,19608Ki
2025-04-17T17:42:28Z,control-plane,linkerd,linkerd-proxy-injector-594bccdff8-qcfbs,linkerd-proxy,213885n,12068Ki
2025-04-17T17:42:28Z,data-plane,service-mesh-benchmark,fortio-client-694dcf998-x282z,linkerd-proxy,420365750n,56820Ki
2025-04-17T17:42:28Z,data-plane,service-mesh-benchmark,fortio-server-db7f5ff86-5trrk,linkerd-proxy,350093691n,41556Ki
2025-04-17T17:42:29Z,control-plane,linkerd,linkerd-destination-78c996c95b-znmwg,destination,727681n,19640Ki
2025-04-17T17:42:29Z,control-plane,linkerd,linkerd-destination-78c996c95b-znmwg,policy,173180n,4016Ki
2025-04-17T17:42:29Z,control-plane,linkerd,linkerd-destination-78c996c95b-znmwg,linkerd-proxy,442532n,14296Ki
2025-04-17T17:42:29Z,control-plane,linkerd,linkerd-destination-78c996c95b-znmwg,sp-validator,106587n,16796Ki
2025-04-17T17:42:29Z,control-plane,linkerd,linkerd-identity-5886fd48d6-xhlps,identity,73971n,17628Ki
2025-04-17T17:42:29Z,control-plane,linkerd,linkerd-identity-5886fd48d6-xhlps,linkerd-proxy,225397n,12064Ki
2025-04-17T17:42:29Z,control-plane,linkerd,linkerd-proxy-injector-594bccdff8-qcfbs,proxy-injector,161863n,19616Ki
2025-04-17T17:42:29Z,control-plane,linkerd,linkerd-proxy-injector-594bccdff8-qcfbs,linkerd-proxy,213885n,12068Ki
2025-04-17T17:42:29Z,data-plane,service-mesh-benchmark,fortio-client-694dcf998-x282z,linkerd-proxy,420365750n,56820Ki
2025-04-17T17:42:29Z,data-plane,service-mesh-benchmark,fortio-server-db7f5ff86-5trrk,linkerd-proxy,350093691n,41556Ki
2025-04-17T17:42:31Z,control-plane,linkerd,linkerd-destination-78c996c95b-znmwg,destination,727681n,19640Ki
2025-04-17T17:42:31Z,control-plane,linkerd,linkerd-destination-78c996c95b-znmwg,policy,173180n,4016Ki
2025-04-17T17:42:31Z,control-plane,linkerd,linkerd-destination-78c996c95b-znmwg,linkerd-proxy,442532n,14296Ki
2025-04-17T17:42:31Z,control-plane,linkerd,linkerd-destination-78c996c95b-znmwg,sp-validator,106587n,16796Ki
2025-04-17T17:42:31Z,control-plane,linkerd,linkerd-identity-5886fd48d6-xhlps,identity,73971n,17628Ki
2025-04-17T17:42:31Z,control-plane,linkerd,linkerd-identity-5886fd48d6-xhlps,linkerd-proxy,225397n,12064Ki
2025-04-17T17:42:31Z,control-plane,linkerd,linkerd-proxy-injector-594bccdff8-qcfbs,proxy-injector,161863n,19616Ki
2025-04-17T17:42:31Z,control-plane,linkerd,linkerd-proxy-injector-594bccdff8-qcfbs,linkerd-proxy,213885n,12068Ki
2025-04-17T17:42:31Z,data-plane,service-mesh-benchmark,fortio-client-694dcf998-x282z,linkerd-proxy,420365750n,56820Ki
2025-04-17T17:42:31Z,data-plane,service-mesh-benchmark,fortio-server-db7f5ff86-5trrk,linkerd-proxy,350093691n,41556Ki
2025-04-17T17:42:32Z,control-plane,linkerd,linkerd-destination-78c996c95b-znmwg,destination,727681n,19640Ki
2025-04-17T17:42:32Z,control-plane,linkerd,linkerd-destination-78c996c95b-znmwg,policy,173180n,4016Ki
2025-04-17T17:42:32Z,control-plane,linkerd,linkerd-destination-78c996c95b-znmwg,linkerd-proxy,431561n,14296Ki
2025-04-17T17:42:32Z,control-plane,linkerd,linkerd-destination-78c996c95b-znmwg,sp-validator,106587n,16796Ki
2025-04-17T17:42:32Z,control-plane,linkerd,linkerd-identity-5886fd48d6-xhlps,identity,73971n,17628Ki
2025-04-17T17:42:32Z,control-plane,linkerd,linkerd-identity-5886fd48d6-xhlps,linkerd-proxy,225397n,12064Ki
2025-04-17T17:42:32Z,control-plane,linkerd,linkerd-proxy-injector-594bccdff8-qcfbs,proxy-injector,185908n,19608Ki
2025-04-17T17:42:32Z,control-plane,linkerd,linkerd-proxy-injector-594bccdff8-qcfbs,linkerd-proxy,213885n,12068Ki
2025-04-17T17:42:32Z,data-plane,service-mesh-benchmark,fortio-client-694dcf998-x282z,linkerd-proxy,420365750n,56820Ki
2025-04-17T17:42:32Z,data-plane,service-mesh-benchmark,fortio-server-db7f5ff86-5trrk,linkerd-proxy,350093691n,41556Ki
2025-04-17T17:42:34Z,control-plane,linkerd,linkerd-destination-78c996c95b-znmwg,destination,727681n,19640Ki
2025-04-17T17:42:34Z,control-plane,linkerd,linkerd-destination-78c996c95b-znmwg,policy,173180n,4016Ki
2025-04-17T17:42:34Z,control-plane,linkerd,linkerd-destination-78c996c95b-znmwg,linkerd-proxy,431561n,14296Ki
2025-04-17T17:42:34Z,control-plane,linkerd,linkerd-destination-78c996c95b-znmwg,sp-validator,106587n,16796Ki
2025-04-17T17:42:34Z,control-plane,linkerd,linkerd-identity-5886fd48d6-xhlps,identity,73971n,17628Ki
2025-04-17T17:42:34Z,control-plane,linkerd,linkerd-identity-5886fd48d6-xhlps,linkerd-proxy,225397n,12064Ki
2025-04-17T17:42:34Z,control-plane,linkerd,linkerd-proxy-injector-594bccdff8-qcfbs,proxy-injector,185908n,19608Ki
2025-04-17T17:42:34Z,control-plane,linkerd,linkerd-proxy-injector-594bccdff8-qcfbs,linkerd-proxy,213885n,12068Ki
2025-04-17T17:42:34Z,data-plane,service-mesh-benchmark,fortio-client-694dcf998-x282z,linkerd-proxy,420365750n,56820Ki
2025-04-17T17:42:34Z,data-plane,service-mesh-benchmark,fortio-server-db7f5ff86-5trrk,linkerd-proxy,350093691n,41556Ki
2025-04-17T17:42:35Z,control-plane,linkerd,linkerd-destination-78c996c95b-znmwg,destination,727681n,19640Ki
2025-04-17T17:42:35Z,control-plane,linkerd,linkerd-destination-78c996c95b-znmwg,policy,173180n,4016Ki
2025-04-17T17:42:35Z,control-plane,linkerd,linkerd-destination-78c996c95b-znmwg,linkerd-proxy,431561n,14296Ki
2025-04-17T17:42:35Z,control-plane,linkerd,linkerd-destination-78c996c95b-znmwg,sp-validator,106587n,16796Ki
2025-04-17T17:42:35Z,control-plane,linkerd,linkerd-identity-5886fd48d6-xhlps,identity,73971n,17628Ki
2025-04-17T17:42:35Z,control-plane,linkerd,linkerd-identity-5886fd48d6-xhlps,linkerd-proxy,225397n,12064Ki
2025-04-17T17:42:35Z,control-plane,linkerd,linkerd-proxy-injector-594bccdff8-qcfbs,proxy-injector,185908n,19608Ki
2025-04-17T17:42:35Z,control-plane,linkerd,linkerd-proxy-injector-594bccdff8-qcfbs,linkerd-proxy,213885n,12068Ki
2025-04-17T17:42:35Z,data-plane,service-mesh-benchmark,fortio-client-694dcf998-x282z,linkerd-proxy,420365750n,56820Ki
2025-04-17T17:42:35Z,data-plane,service-mesh-benchmark,fortio-server-db7f5ff86-5trrk,linkerd-proxy,350093691n,41556Ki
2025-04-17T17:42:36Z,control-plane,linkerd,linkerd-destination-78c996c95b-znmwg,destination,727681n,19640Ki
2025-04-17T17:42:36Z,control-plane,linkerd,linkerd-destination-78c996c95b-znmwg,policy,173180n,4016Ki
2025-04-17T17:42:36Z,control-plane,linkerd,linkerd-destination-78c996c95b-znmwg,linkerd-proxy,442532n,14296Ki
2025-04-17T17:42:36Z,control-plane,linkerd,linkerd-destination-78c996c95b-znmwg,sp-validator,106587n,16796Ki
2025-04-17T17:42:36Z,control-plane,linkerd,linkerd-identity-5886fd48d6-xhlps,identity,73971n,17628Ki
2025-04-17T17:42:36Z,control-plane,linkerd,linkerd-identity-5886fd48d6-xhlps,linkerd-proxy,225397n,12064Ki
2025-04-17T17:42:36Z,control-plane,linkerd,linkerd-proxy-injector-594bccdff8-qcfbs,proxy-injector,161863n,19616Ki
2025-04-17T17:42:36Z,control-plane,linkerd,linkerd-proxy-injector-594bccdff8-qcfbs,linkerd-proxy,213885n,12068Ki
2025-04-17T17:42:36Z,data-plane,service-mesh-benchmark,fortio-client-694dcf998-x282z,linkerd-proxy,420365750n,56820Ki
2025-04-17T17:42:36Z,data-plane,service-mesh-benchmark,fortio-server-db7f5ff86-5trrk,linkerd-proxy,350093691n,41556Ki
2025-04-17T17:42:38Z,control-plane,linkerd,linkerd-destination-78c996c95b-znmwg,destination,727681n,19640Ki
2025-04-17T17:42:38Z,control-plane,linkerd,linkerd-destination-78c996c95b-znmwg,policy,173180n,4016Ki
2025-04-17T17:42:38Z,control-plane,linkerd,linkerd-destination-78c996c95b-znmwg,linkerd-proxy,442532n,14296Ki
2025-04-17T17:42:38Z,control-plane,linkerd,linkerd-destination-78c996c95b-znmwg,sp-validator,106587n,16796Ki
2025-04-17T17:42:38Z,control-plane,linkerd,linkerd-identity-5886fd48d6-xhlps,identity,73971n,17628Ki
2025-04-17T17:42:38Z,control-plane,linkerd,linkerd-identity-5886fd48d6-xhlps,linkerd-proxy,225397n,12064Ki
2025-04-17T17:42:38Z,control-plane,linkerd,linkerd-proxy-injector-594bccdff8-qcfbs,proxy-injector,161863n,19616Ki
2025-04-17T17:42:38Z,control-plane,linkerd,linkerd-proxy-injector-594bccdff8-qcfbs,linkerd-proxy,213885n,12068Ki
2025-04-17T17:42:38Z,data-plane,service-mesh-benchmark,fortio-client-694dcf998-x282z,linkerd-proxy,420365750n,56820Ki
2025-04-17T17:42:38Z,data-plane,service-mesh-benchmark,fortio-server-db7f5ff86-5trrk,linkerd-proxy,350093691n,41556Ki
2025-04-17T17:42:39Z,control-plane,linkerd,linkerd-destination-78c996c95b-znmwg,destination,727681n,19640Ki
2025-04-17T17:42:39Z,control-plane,linkerd,linkerd-destination-78c996c95b-znmwg,policy,173180n,4016Ki
2025-04-17T17:42:39Z,control-plane,linkerd,linkerd-destination-78c996c95b-znmwg,linkerd-proxy,431561n,14296Ki
2025-04-17T17:42:39Z,control-plane,linkerd,linkerd-destination-78c996c95b-znmwg,sp-validator,106587n,16796Ki
2025-04-17T17:42:39Z,control-plane,linkerd,linkerd-identity-5886fd48d6-xhlps,identity,73971n,17628Ki
2025-04-17T17:42:39Z,control-plane,linkerd,linkerd-identity-5886fd48d6-xhlps,linkerd-proxy,225397n,12064Ki
2025-04-17T17:42:39Z,control-plane,linkerd,linkerd-proxy-injector-594bccdff8-qcfbs,proxy-injector,185908n,19608Ki
2025-04-17T17:42:39Z,control-plane,linkerd,linkerd-proxy-injector-594bccdff8-qcfbs,linkerd-proxy,213885n,12068Ki
2025-04-17T17:42:39Z,data-plane,service-mesh-benchmark,fortio-client-694dcf998-x282z,linkerd-proxy,420365750n,56820Ki
2025-04-17T17:42:39Z,data-plane,service-mesh-benchmark,fortio-server-db7f5ff86-5trrk,linkerd-proxy,350093691n,41556Ki
2025-04-17T17:42:41Z,control-plane,linkerd,linkerd-destination-78c996c95b-znmwg,destination,727681n,19640Ki
2025-04-17T17:42:41Z,control-plane,linkerd,linkerd-destination-78c996c95b-znmwg,policy,173180n,4016Ki
2025-04-17T17:42:41Z,control-plane,linkerd,linkerd-destination-78c996c95b-znmwg,linkerd-proxy,431561n,14296Ki
2025-04-17T17:42:41Z,control-plane,linkerd,linkerd-destination-78c996c95b-znmwg,sp-validator,106587n,16796Ki
2025-04-17T17:42:41Z,control-plane,linkerd,linkerd-identity-5886fd48d6-xhlps,identity,73971n,17628Ki
2025-04-17T17:42:41Z,control-plane,linkerd,linkerd-identity-5886fd48d6-xhlps,linkerd-proxy,225397n,12064Ki
2025-04-17T17:42:41Z,control-plane,linkerd,linkerd-proxy-injector-594bccdff8-qcfbs,proxy-injector,185908n,19608Ki
2025-04-17T17:42:41Z,control-plane,linkerd,linkerd-proxy-injector-594bccdff8-qcfbs,linkerd-proxy,213885n,12068Ki
2025-04-17T17:42:41Z,data-plane,service-mesh-benchmark,fortio-client-694dcf998-x282z,linkerd-proxy,420365750n,56820Ki
2025-04-17T17:42:41Z,data-plane,service-mesh-benchmark,fortio-server-db7f5ff86-5trrk,linkerd-proxy,350093691n,41556Ki
2025-04-17T17:42:42Z,control-plane,linkerd,linkerd-destination-78c996c95b-znmwg,destination,727681n,19640Ki
2025-04-17T17:42:42Z,control-plane,linkerd,linkerd-destination-78c996c95b-znmwg,policy,173180n,4016Ki
2025-04-17T17:42:42Z,control-plane,linkerd,linkerd-destination-78c996c95b-znmwg,linkerd-proxy,431561n,14296Ki
2025-04-17T17:42:42Z,control-plane,linkerd,linkerd-destination-78c996c95b-znmwg,sp-validator,106587n,16796Ki
2025-04-17T17:42:42Z,control-plane,linkerd,linkerd-identity-5886fd48d6-xhlps,identity,73971n,17628Ki
2025-04-17T17:42:42Z,control-plane,linkerd,linkerd-identity-5886fd48d6-xhlps,linkerd-proxy,225397n,12064Ki
2025-04-17T17:42:42Z,control-plane,linkerd,linkerd-proxy-injector-594bccdff8-qcfbs,proxy-injector,185908n,19608Ki
2025-04-17T17:42:42Z,control-plane,linkerd,linkerd-proxy-injector-594bccdff8-qcfbs,linkerd-proxy,213885n,12068Ki
2025-04-17T17:42:42Z,data-plane,service-mesh-benchmark,fortio-client-694dcf998-x282z,linkerd-proxy,420365750n,56820Ki
2025-04-17T17:42:42Z,data-plane,service-mesh-benchmark,fortio-server-db7f5ff86-5trrk,linkerd-proxy,350093691n,41556Ki
2025-04-17T17:42:44Z,control-plane,linkerd,linkerd-destination-78c996c95b-znmwg,destination,727681n,19640Ki
2025-04-17T17:42:44Z,control-plane,linkerd,linkerd-destination-78c996c95b-znmwg,policy,173180n,4016Ki
2025-04-17T17:42:44Z,control-plane,linkerd,linkerd-destination-78c996c95b-znmwg,linkerd-proxy,431561n,14296Ki
2025-04-17T17:42:44Z,control-plane,linkerd,linkerd-destination-78c996c95b-znmwg,sp-validator,106587n,16796Ki
2025-04-17T17:42:44Z,control-plane,linkerd,linkerd-identity-5886fd48d6-xhlps,identity,73971n,17628Ki
2025-04-17T17:42:44Z,control-plane,linkerd,linkerd-identity-5886fd48d6-xhlps,linkerd-proxy,225397n,12064Ki
2025-04-17T17:42:44Z,control-plane,linkerd,linkerd-proxy-injector-594bccdff8-qcfbs,proxy-injector,185908n,19608Ki
2025-04-17T17:42:44Z,control-plane,linkerd,linkerd-proxy-injector-594bccdff8-qcfbs,linkerd-proxy,213885n,12068Ki
2025-04-17T17:42:44Z,data-plane,service-mesh-benchmark,fortio-client-694dcf998-x282z,linkerd-proxy,420365750n,56820Ki
2025-04-17T17:42:44Z,data-plane,service-mesh-benchmark,fortio-server-db7f5ff86-5trrk,linkerd-proxy,350093691n,41556Ki
2025-04-17T17:42:45Z,control-plane,linkerd,linkerd-destination-78c996c95b-znmwg,destination,727681n,19640Ki
2025-04-17T17:42:45Z,control-plane,linkerd,linkerd-destination-78c996c95b-znmwg,policy,173180n,4016Ki
2025-04-17T17:42:45Z,control-plane,linkerd,linkerd-destination-78c996c95b-znmwg,linkerd-proxy,431561n,14296Ki
2025-04-17T17:42:45Z,control-plane,linkerd,linkerd-destination-78c996c95b-znmwg,sp-validator,106587n,16796Ki
2025-04-17T17:42:45Z,control-plane,linkerd,linkerd-identity-5886fd48d6-xhlps,identity,73971n,17628Ki
2025-04-17T17:42:45Z,control-plane,linkerd,linkerd-identity-5886fd48d6-xhlps,linkerd-proxy,225397n,12064Ki
2025-04-17T17:42:45Z,control-plane,linkerd,linkerd-proxy-injector-594bccdff8-qcfbs,proxy-injector,185908n,19608Ki
2025-04-17T17:42:45Z,control-plane,linkerd,linkerd-proxy-injector-594bccdff8-qcfbs,linkerd-proxy,213885n,12068Ki
2025-04-17T17:42:45Z,data-plane,service-mesh-benchmark,fortio-client-694dcf998-x282z,linkerd-proxy,420365750n,56820Ki
2025-04-17T17:42:45Z,data-plane,service-mesh-benchmark,fortio-server-db7f5ff86-5trrk,linkerd-proxy,350093691n,41556Ki
2025-04-17T17:42:46Z,control-plane,linkerd,linkerd-destination-78c996c95b-znmwg,destination,727681n,19640Ki
2025-04-17T17:42:46Z,control-plane,linkerd,linkerd-destination-78c996c95b-znmwg,policy,173180n,4016Ki
2025-04-17T17:42:46Z,control-plane,linkerd,linkerd-destination-78c996c95b-znmwg,linkerd-proxy,442532n,14296Ki
2025-04-17T17:42:46Z,control-plane,linkerd,linkerd-destination-78c996c95b-znmwg,sp-validator,106587n,16796Ki
2025-04-17T17:42:46Z,control-plane,linkerd,linkerd-identity-5886fd48d6-xhlps,identity,73971n,17628Ki
2025-04-17T17:42:46Z,control-plane,linkerd,linkerd-identity-5886fd48d6-xhlps,linkerd-proxy,225397n,12064Ki
2025-04-17T17:42:46Z,control-plane,linkerd,linkerd-proxy-injector-594bccdff8-qcfbs,proxy-injector,161863n,19616Ki
2025-04-17T17:42:46Z,control-plane,linkerd,linkerd-proxy-injector-594bccdff8-qcfbs,linkerd-proxy,213885n,12068Ki
2025-04-17T17:42:46Z,data-plane,service-mesh-benchmark,fortio-client-694dcf998-x282z,linkerd-proxy,420365750n,56820Ki
2025-04-17T17:42:46Z,data-plane,service-mesh-benchmark,fortio-server-db7f5ff86-5trrk,linkerd-proxy,350093691n,41556Ki
2025-04-17T17:42:48Z,control-plane,linkerd,linkerd-destination-78c996c95b-znmwg,destination,727681n,19640Ki
2025-04-17T17:42:48Z,control-plane,linkerd,linkerd-destination-78c996c95b-znmwg,policy,173180n,4016Ki
2025-04-17T17:42:48Z,control-plane,linkerd,linkerd-destination-78c996c95b-znmwg,linkerd-proxy,442532n,14296Ki
2025-04-17T17:42:48Z,control-plane,linkerd,linkerd-destination-78c996c95b-znmwg,sp-validator,106587n,16796Ki
2025-04-17T17:42:48Z,control-plane,linkerd,linkerd-identity-5886fd48d6-xhlps,identity,73971n,17628Ki
2025-04-17T17:42:48Z,control-plane,linkerd,linkerd-identity-5886fd48d6-xhlps,linkerd-proxy,225397n,12064Ki
2025-04-17T17:42:48Z,control-plane,linkerd,linkerd-proxy-injector-594bccdff8-qcfbs,proxy-injector,161863n,19616Ki
2025-04-17T17:42:48Z,control-plane,linkerd,linkerd-proxy-injector-594bccdff8-qcfbs,linkerd-proxy,213885n,12068Ki
